,GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),Numeric,Value
190,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2020,SEX,SEX_MLE,27.9,27.9 [26.7-29.2]
191,MALARIA_MICR_POS,Number of malaria positive cases by microscopy,2016,,,1087285.0,1 087 285
192,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",1996,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,0.0,0 [0 - 2.36]
193,SDGPM25,Concentrations of fine particulate matter (PM2.5),2011,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,50.00474,50.00 [47.27-52.55]
194,M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),2030,SEX,SEX_BTSX,18.3,18.3 [13.2-23.5]
195,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),2005,SEX,SEX_MLE,6.7,6.7 [4.8-9.0]
196,GHED_CHEGDP_SHA2011,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),2004,,,3.96,3.96
197,WSH_HYGIENE_BASIC,Population with basic handwashing facilities at home (%),2013,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,50.72643,51
198,MORT_200,Deaths per 1 000 live births,2015,AGEGROUP,AGEGROUP_DAYS0-27,0.2031,0.2
200,PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),2021,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,463.92536,463.93 [419.91 - 486.19]
201,WSH_SANITATION_OD,Population practising open defecation (%),2020,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,16.47277,16
202,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2005,SEX,SEX_MLE,1.68381,1.7 [1.5-1.9]
203,PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",2020,,,0.0,0.11
204,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),2019,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,91.56222,92
205,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2015,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,3.2,3.2 [2.9-3.5]
206,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",1990,SEX,SEX_BTSX,5.64819,5.6 [5.1-6.2]
207,SA_0000001414,"Alcohol, former drinkers (%), age-standardized",2010,SEX,SEX_FMLE,7.85688,7.9 [6.9 - 8.9]
208,MORT_100,Number of deaths,2015,SEX,SEX_BTSX,5171.0,5171.0
209,MORT_200,Deaths per 1 000 live births,2004,AGEGROUP,AGEGROUP_MONTHS1-59,11.76799,11.8
210,MORT_200,Deaths per 1 000 live births,2016,AGEGROUP,AGEGROUP_DAYS0-27,1.28373,1.3
211,MALARIA_MICR_POS,Number of malaria positive cases by microscopy,2013,,,881730.0,881 730
212,SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",2009,SEX,SEX_BTSX,11.62092,11.6 [10.6 - 12.7]
213,NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",1980,SEX,SEX_FMLE,1.1,1.1 [0.8-1.3]
214,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2009,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,0.37141,0.37 [0 - 4.46]
215,MORT_100,Number of deaths,2012,SEX,SEX_BTSX,0.0,0.0
216,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2006,SEX,SEX_MLE,59.1,59.1 [56.4-61.7]
217,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2005,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,25.7,25.7 [15.5 - 37]
218,MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,AGEGROUP,AGEGROUP_MONTHS1-59,0.00377,0
219,PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),1997,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,94.8,94.8 [89.3 - 98.3]
220,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2011,SEX,SEX_MLE,369105.0,369105 [305789-446460]
221,WSH_SANITATION_OD,Population practising open defecation (%),2003,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,81.38492,81
222,MORT_200,Deaths per 1 000 live births,2016,AGEGROUP,AGEGROUP_MONTHS1-59,0.07516,0.1
223,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2008,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,98.53693,98.54 [47.6 - 173.69]
224,RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,2014,SUBSTANCETYPE,SUBSTANCETYPE_CANNABIS,0.0,No
225,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2001,SEX,SEX_FMLE,0.28499,0.3 [0.2-0.4]
226,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2012,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,20.20905,20.21 [3.79 - 54.31]
227,NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),2005,SEVERITY,SEVERITY_MODERATE,4550.0,4550 [4050-4990]
228,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2002,SEX,SEX_BTSX,0.57672,0.6 [0.5-0.7]
229,HEMOGLOBINLEVEL_REPRODUCTIVEAGE_MEAN,Mean hemoglobin level of women of reproductive age (aged 15-49 years),2015,,,117.0,117 [115-119]
230,FINPROTECTION_CATA_TOT_25_POP,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, reported data) (%)",2011,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,4.21,4.21
231,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),2009,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,93.43625,93
232,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1967,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,0.0,0
233,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2020,SEX,SEX_FMLE,17.9,17.9 [17.5-18.3]
234,NCD_CCS_betablockers,General availability of beta blockers in the public health sector,2021,,,0.0,Yes
235,W15_specific_hw_B,Does the law mandate specific health warnings on other smoked tobacco packaging?,2016,,,0.0,Yes
236,NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),2003,SEVERITY,SEVERITY_MODERATE,72200.0,72200 [57100-87600]
237,NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),2017,SEVERITY,SEVERITY_MILD,3840.0,3840 [3420-4210]
238,GHED_OOPSCHE_SHA2011,Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),2018,,,53.23,53.23
239,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2006,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,8.18388,8.18 [1.64 - 21.28]
240,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2006,AGEGROUP,AGEGROUP_MONTHS36-47,1.4,1.4 [1.1-1.7]
241,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2015,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP60,28.4,28.4 [27.9-28.8]
242,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2004,SEX,SEX_BTSX,77.68887,77.7 [74.4-81.3]
243,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2008,SEX,SEX_MLE,4.46804,4.5 [3.8-5.1]
245,MORT_200,Deaths per 1 000 live births,2010,AGEGROUP,AGEGROUP_MONTHS1-59,0.0073,0
246,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",1990,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,10.5,10.5 [3.6 - 21.6]
247,NCD_CHOL_MEANNONHDL_A,"Mean Non-HDL cholesterol, age-standardized",2017,SEX,SEX_MLE,3.3,3.3 [3.1-3.4]
248,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2014,SEX,SEX_FMLE,21.82692,21.8 [20.4-23.3]
249,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2018,SEX,SEX_BTSX,339527.8,339528 [254137-440130]
250,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2006,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,20.1,20.1 [18.7-21.5]
251,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),2018,SEX,SEX_MLE,13.24872,13.2 [12.7-13.8]
252,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2020,SEX,SEX_FMLE,32.6,32.6 [31.3-33.9]
253,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),1999,SEX,SEX_BTSX,134810.0,134 810 [115 398-154 708]
254,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2015,AGEGROUP,AGEGROUP_MONTHS36-47,17.7,17.7 [17.2-18.2]
255,CM_04,Number of deaths among children ages 5 to 9 years,2000,SEX,SEX_FMLE,113971.0,113 971 [107 219-121 091]
256,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1998,SEX,SEX_BTSX,0.20015,0.2 [0.1-0.3]
258,NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),2012,SEX,SEX_BTSX,58.0,58.0 [48.5-66.4]
259,SDGSUICIDE,Crude suicide rates (per 100 000 population),2011,SEX,SEX_BTSX,14.6593,14.7 [11.2-17.0]
260,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2006,SEX,SEX_FMLE,50.7,50.7 [49.6-51.7]
261,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2021,SEX,SEX_FMLE,22.09328,22.1 [18.6-25.6]
262,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2008,SEX,SEX_FMLE,21.90535,21.9 [20.3-23.5]
263,NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",1984,SEX,SEX_FMLE,1.1,1.1 [0.9-1.3]
264,GHED_GGHE-DCHE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%),2018,,,34.29,34.29
265,W9_no_obscure_A,Health warnings on cigarette packaging must not be obscured in any way including by required markings such as tax stamps,2012,,,0.0,Yes
266,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2022,SEX,SEX_MLE,6.20694,6.2 [5.4-7.1]
267,ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),2017,,,13.0,13
268,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2006,SEX,SEX_FMLE,7.77662,7.8 [7.2-8.4]
270,W4_pc_back_A,Percentage of principal display area mandated to be covered by health warnings - back of cigarette packaging,2008,,,40.0,40
271,WSH_WATER_SAFELY_MANAGED,Population using safely managed drinking-water services (%),2007,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,38.75459,39
272,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),2003,SEX,SEX_FMLE,5.44597,5.45 [5.27-5.63]
273,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2008,SEX,SEX_FMLE,4.19011,4.2 [3.6-4.8]
274,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),1983,SEX,SEX_MLE,149.64585,149.6 [143.8-155.4]
275,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2005,SEX,SEX_MLE,472606.7,472607 [349698-592114]
276,PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",2014,,,0.0,0.23
277,MORT_100,Number of deaths,2004,SEX,SEX_BTSX,229726.10809,229726.10809
278,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),2010,SEX,SEX_BTSX,32.34852,32.3 [27.1-37.9]
279,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1993,SEX,SEX_FMLE,8.58871,8.6 [7.8-9.5]
280,MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,2021,,,87951904.0,87 951 904
281,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1998,SEX,SEX_FMLE,70.39581,70.4 [67.7-73.3]
282,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate),1981,SEX,SEX_FMLE,4.7,4.7 [1.9-9.4]
283,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2020,AGEGROUP,AGEGROUP_MONTHS42-47,2.4,2.4 [2.1-2.7]
284,NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",1983,SEX,SEX_BTSX,4.3,4.3 [3.9-4.6]
285,TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2012,,,46.0,46
286,NCD_PAC_ADO,Insufficiently active (crude estimate),2012,SEX,SEX_FMLE,76.39745,76.4 [69.5-82.1]
287,WHS4_129,Hib (Hib3) immunization coverage among 1-year-olds (%),2013,,,20.0,20
288,MORT_200,Deaths per 1 000 live births,2011,AGEGROUP,AGEGROUP_MONTHS1-59,1.06154,1.1
290,NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",1995,SEX,SEX_FMLE,1.1,1.1 [1.0-1.2]
291,W15_specific_hw_A,Does the law mandate specific health warnings on cigarette packaging?,2022,,,0.0,Yes
292,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2020,SEX,SEX_MLE,19.5,19.5 [19.1-19.9]
293,FINPROTECTION_IMP_NPRELPL_POP,"Population pushed below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",2017,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,0.81,0.81
294,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1999,SEX,SEX_MLE,51.9,51.9 [50.4-53.4]
296,P11_fines_any,National smoking ban: FINES FOR VIOLATIONS,2018,,,0.0,Yes
297,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),1962,SEX,SEX_BTSX,235.41339,235.4 [215.9-254.7]
298,W2_pc_front_back_A,Percentage of principal display area mandated to be covered by health warnings - front and back of cigarette packaging,2018,,,85.0,85
299,NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),2002,SEVERITY,SEVERITY_MILD,32000.0,32000 [29000-34600]
300,GHED_PVT-DCHE_SHA2011,Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),2021,,,63.52,63.52
301,NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",1994,SEX,SEX_FMLE,4.3,4.3 [4.1-4.5]
302,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),1991,SEX,SEX_FMLE,104422.0,104 422 [95 678-113 632]
303,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2006,SEX,SEX_FMLE,6.3,6.3 [5.9-6.8]
304,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2016,SEX,SEX_BTSX,24.78342,24.8 [23.6-26.0]
305,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",2005,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,1.2421,1.2
306,NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,SEVERITY,SEVERITY_TOTAL,53.0,53.0 [45.5-60.2]
307,RSUD_820,Epidemiological data collection for substance use,2014,,,0.0,One data collection systems for alcohol and drug use
308,MORT_300,Distribution of causes of death among children aged < 5 years (%),2004,AGEGROUP,AGEGROUP_DAYS0-27,0.00805,0
309,MORT_200,Deaths per 1 000 live births,2011,AGEGROUP,AGEGROUP_YEARS0-4,13.50643,13.5
310,TB_c_new_tsr,Treatment success rate: new TB cases,2012,,,88.0,88
311,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2020,SEX,SEX_MLE,8.7,8.7 [8.1-9.5]
312,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1999,SEX,SEX_MLE,68.69682,68.7 [66.0-71.4]
313,MORT_100,Number of deaths,2007,SEX,SEX_BTSX,0.0,0.0
314,MORT_100,Number of deaths,2012,SEX,SEX_BTSX,50930.21602,50930.21602
315,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2017,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,0.44996,0.45 [0 - 2.7]
316,NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),2008,SEX,SEX_MLE,26.9158,26.9 [20.0-34.6]
317,NCD_CHOL_MEANTOTALCHOL_A,"Mean total cholesterol,  age-standardized",2008,SEX,SEX_MLE,4.4,4.4 [4.2-4.5]
318,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",2014,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,0.00019,0
319,NCD_CCS_PAPlan,Existence of operational policy/strategy/action plan to reduce physical inactivity,2015,,,0.0,Yes
320,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2020,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,8.4,8.4 [8.1-8.8]
321,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2009,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,0.1,0.1 [0 - 0.8]
322,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,AGEGROUP,AGEGROUP_MONTHS1-59,0.10888,0.1
324,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2001,SEX,SEX_BTSX,2.18657,2.2 [1.9-2.5]
325,RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,2014,RSUDREP,RSUDREP_RSUDREP_PHARMAINDUSTRY,0.0,Yes
327,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2020,SEX,SEX_FMLE,3.39579,3.4 [3.0-3.8]
328,MORT_MATERNALNUM,Number of maternal deaths,2002,,,94379.36192,94 379 [83 862-111 149]
329,SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",2018,,,75.0,75
330,SA_0000001809,National system of epidemiological data collection for alcohol use,2016,,,0.0,Yes
331,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,AGEGROUP,AGEGROUP_DAYS0-27,0.01419,0
332,MORT_200,Deaths per 1 000 live births,2012,AGEGROUP,AGEGROUP_MONTHS1-59,1.6336,1.6
333,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2006,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,13.1,13.1 [12.1-14.2]
334,CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2016,SEX,SEX_BTSX,5.94369,5.9 [5.6-6.3]
335,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2005,SEX,SEX_FMLE,3.62938,3.6 [3.2-4.1]
336,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2019,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,426.53278,426.53 [380.29 - 454.84]
338,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2006,SEX,SEX_BTSX,233382.1,233382 [182920-291230]
339,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1999,SEX,SEX_MLE,64.5,64.5 [61.9-67.0]
340,TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2017,,,71.0,71
341,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2016,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,597.22627,597.23 [491.03 - 691.92]
